2021-06-27 23:06:819 INFO  BasePage :30 - Launching Chrome Browser 
2021-06-27 23:06:465 INFO  HomePage :33 - Clicking on bank manager Login link[[ChromeDriver: chrome on WINDOWS (4e626d11dac738786382bc6a1ec36e5f)] -> xpath: //button[contains(text(),'Bank Manager Login')]]
2021-06-27 23:06:834 INFO  BankManagerLoginPage :22 - Clicking on Add to Customer tab [[ChromeDriver: chrome on WINDOWS (4e626d11dac738786382bc6a1ec36e5f)] -> xpath: //button[normalize-space()='Add Customer']]
2021-06-27 23:06:556 INFO  AddCustomerPage :28 - Entering first name : Virat to first name field : [[ChromeDriver: chrome on WINDOWS (4e626d11dac738786382bc6a1ec36e5f)] -> xpath: //input[@placeholder='First Name']]
2021-06-27 23:06:712 INFO  AddCustomerPage :34 - Entering last name : Mehta to last name field : [[ChromeDriver: chrome on WINDOWS (4e626d11dac738786382bc6a1ec36e5f)] -> xpath: //input[@placeholder='Last Name']]
2021-06-27 23:06:895 INFO  AddCustomerPage :40 - Entering post code: NW9 9HN to post code field : [[ChromeDriver: chrome on WINDOWS (4e626d11dac738786382bc6a1ec36e5f)] -> xpath: //input[@placeholder='Post Code']]
2021-06-27 23:06:937 INFO  AddCustomerPage :45 - Clicking on Add to Customer Button [[ChromeDriver: chrome on WINDOWS (4e626d11dac738786382bc6a1ec36e5f)] -> xpath: //button[@type='submit']]
2021-06-28 00:06:789 INFO  BasePage :30 - Launching Chrome Browser 
2021-06-28 00:06:774 INFO  HomePage :33 - Clicking on bank manager Login link[[ChromeDriver: chrome on WINDOWS (b7ebf4a97588e9e46fda02f5da8c5cbf)] -> xpath: //button[contains(text(),'Bank Manager Login')]]
2021-06-28 00:06:949 INFO  BankManagerLoginPage :22 - Clicking on Add to Customer tab [[ChromeDriver: chrome on WINDOWS (b7ebf4a97588e9e46fda02f5da8c5cbf)] -> xpath: //button[normalize-space()='Add Customer']]
2021-06-28 00:06:614 INFO  AddCustomerPage :28 - Entering first name : Virat to first name field : [[ChromeDriver: chrome on WINDOWS (b7ebf4a97588e9e46fda02f5da8c5cbf)] -> xpath: //input[@placeholder='First Name']]
2021-06-28 00:06:972 INFO  AddCustomerPage :34 - Entering last name : Mehta to last name field : [[ChromeDriver: chrome on WINDOWS (b7ebf4a97588e9e46fda02f5da8c5cbf)] -> xpath: //input[@placeholder='Last Name']]
2021-06-28 00:06:173 INFO  AddCustomerPage :40 - Entering post code: NW9 9HN to post code field : [[ChromeDriver: chrome on WINDOWS (b7ebf4a97588e9e46fda02f5da8c5cbf)] -> xpath: //input[@placeholder='Post Code']]
2021-06-28 00:06:212 INFO  AddCustomerPage :45 - Clicking on Add to Customer Button [[ChromeDriver: chrome on WINDOWS (b7ebf4a97588e9e46fda02f5da8c5cbf)] -> xpath: //button[@type='submit']]
2021-06-28 00:06:487 INFO  BankManagerLoginPage :28 - Clicking on open account tab [[ChromeDriver: chrome on WINDOWS (b7ebf4a97588e9e46fda02f5da8c5cbf)] -> xpath: //button[normalize-space()='Open Account']]
2021-06-28 00:06:795 INFO  OpenAccountPage :31 - Select value from dropdown[[ChromeDriver: chrome on WINDOWS (b7ebf4a97588e9e46fda02f5da8c5cbf)] -> xpath: //select[@id='userSelect']]
2021-06-28 00:06:81 INFO  OpenAccountPage :38 - Select currency from drop down [[ChromeDriver: chrome on WINDOWS (b7ebf4a97588e9e46fda02f5da8c5cbf)] -> id: currency]
2021-06-28 00:06:364 INFO  OpenAccountPage :44 - Clicking on process Button [[ChromeDriver: chrome on WINDOWS (b7ebf4a97588e9e46fda02f5da8c5cbf)] -> xpath: //button[contains(text(),'Process')]]
2021-06-28 20:06:903 INFO  BasePage :30 - Launching Chrome Browser 
2021-06-28 20:06:414 INFO  HomePage :33 - Clicking on bank manager Login link[[ChromeDriver: chrome on WINDOWS (2f94fafd412d0b5f0eebd2e718cfe25c)] -> xpath: //button[contains(text(),'Bank Manager Login')]]
2021-06-28 20:06:702 INFO  BankManagerLoginPage :22 - Clicking on Add to Customer tab [[ChromeDriver: chrome on WINDOWS (2f94fafd412d0b5f0eebd2e718cfe25c)] -> xpath: //button[normalize-space()='Add Customer']]
2021-06-28 20:06:684 INFO  AddCustomerPage :28 - Entering first name : Virat to first name field : [[ChromeDriver: chrome on WINDOWS (2f94fafd412d0b5f0eebd2e718cfe25c)] -> xpath: //input[@placeholder='First Name']]
2021-06-28 20:06:825 INFO  AddCustomerPage :34 - Entering last name : Mehta to last name field : [[ChromeDriver: chrome on WINDOWS (2f94fafd412d0b5f0eebd2e718cfe25c)] -> xpath: //input[@placeholder='Last Name']]
2021-06-28 20:06:977 INFO  AddCustomerPage :40 - Entering post code: NW9 9HN to post code field : [[ChromeDriver: chrome on WINDOWS (2f94fafd412d0b5f0eebd2e718cfe25c)] -> xpath: //input[@placeholder='Post Code']]
2021-06-28 20:06:13 INFO  AddCustomerPage :45 - Clicking on Add to Customer Button [[ChromeDriver: chrome on WINDOWS (2f94fafd412d0b5f0eebd2e718cfe25c)] -> xpath: //button[@type='submit']]
2021-06-28 20:06:436 INFO  BankManagerLoginPage :28 - Clicking on open account tab [[ChromeDriver: chrome on WINDOWS (2f94fafd412d0b5f0eebd2e718cfe25c)] -> xpath: //button[normalize-space()='Open Account']]
2021-06-28 20:06:700 INFO  OpenAccountPage :31 - Select value from dropdown[[ChromeDriver: chrome on WINDOWS (2f94fafd412d0b5f0eebd2e718cfe25c)] -> xpath: //select[@id='userSelect']]
2021-06-28 20:06:297 INFO  OpenAccountPage :38 - Select currency from drop down [[ChromeDriver: chrome on WINDOWS (2f94fafd412d0b5f0eebd2e718cfe25c)] -> id: currency]
2021-06-28 20:06:505 INFO  OpenAccountPage :44 - Clicking on process Button [[ChromeDriver: chrome on WINDOWS (2f94fafd412d0b5f0eebd2e718cfe25c)] -> xpath: //button[contains(text(),'Process')]]
2021-06-28 20:06:811 INFO  HomePage :39 - Clicking on home button link[[ChromeDriver: chrome on WINDOWS (2f94fafd412d0b5f0eebd2e718cfe25c)] -> xpath: //button[@class='btn home']]
2021-06-28 20:06:903 INFO  HomePage :27 - Clicking on Customer Login link[[ChromeDriver: chrome on WINDOWS (2f94fafd412d0b5f0eebd2e718cfe25c)] -> xpath: //button[contains(text(),'Customer Login')]]
2021-06-28 20:06:374 INFO  OpenAccountPage :31 - Select value from dropdown[[ChromeDriver: chrome on WINDOWS (2f94fafd412d0b5f0eebd2e718cfe25c)] -> xpath: //select[@id='userSelect']]
2021-06-28 20:06:670 INFO  BasePage :30 - Launching Chrome Browser 
2021-06-28 20:06:785 INFO  HomePage :33 - Clicking on bank manager Login link[[ChromeDriver: chrome on WINDOWS (cc9a6bdb40248859c31480e3a28ec173)] -> xpath: //button[contains(text(),'Bank Manager Login')]]
2021-06-28 20:06:950 INFO  BankManagerLoginPage :22 - Clicking on Add to Customer tab [[ChromeDriver: chrome on WINDOWS (cc9a6bdb40248859c31480e3a28ec173)] -> xpath: //button[normalize-space()='Add Customer']]
2021-06-28 20:06:495 INFO  AddCustomerPage :28 - Entering first name : Virat to first name field : [[ChromeDriver: chrome on WINDOWS (cc9a6bdb40248859c31480e3a28ec173)] -> xpath: //input[@placeholder='First Name']]
2021-06-28 20:06:918 INFO  AddCustomerPage :34 - Entering last name : Mehta to last name field : [[ChromeDriver: chrome on WINDOWS (cc9a6bdb40248859c31480e3a28ec173)] -> xpath: //input[@placeholder='Last Name']]
